City ID,City Name,Country Code,Actual Lat,Actual Long,Temp,Humidity,Cloudiness,Wind Speed
301,Ribeira Grande,PT,38.52,-28.7,64.4,82.0,75.0,19.46
302,Los Llanos De Aridane,ES,28.66,-17.92,75.2,33.0,0.0,17.22
303,Tiznit,MA,29.7,-9.73,67.56,49.0,0.0,4.16
304,Nalut,LY,31.86,10.98,56.26,48.0,12.0,15.79
305,Bani Walid,LY,31.76,14.0,48.43,91.0,20.0,18.25
306,Madinat Sittah Uktubar,EG,29.82,31.05,62.6,36.0,75.0,3.36
307,Sabha,JO,32.33,36.5,53.6,62.0,40.0,4.94
308,Hit,IQ,33.64,42.83,53.97,73.0,48.0,8.52
309,Ravar,IR,31.27,56.81,39.7,95.0,0.0,2.04
310,Uthal,PK,25.81,66.62,60.27,73.0,0.0,4.94
311,Fazilka,IN,30.41,74.03,55.14,87.0,92.0,6.62
312,Rajgarh,IN,24.01,76.73,55.81,65.0,0.0,3.49
313,Pokhara,NP,28.21,83.99,36.69,78.0,12.0,1.92
314,Fuling,CN,29.71,107.39,31.15,97.0,0.0,2.37
315,Huangpi,CN,30.88,114.37,33.8,80.0,0.0,2.24
316,Hanyang,CN,32.14,105.51,25.26,88.0,80.0,1.03
317,Muroto,JP,33.37,134.14,42.0,100.0,0.0,9.75
318,Tateyama,JP,36.66,137.31,28.0,100.0,88.0,1.14
319,Ahuimanu,US,21.44,-157.84,73.2,84.0,90.0,8.05
320,Fortuna,US,40.6,-124.16,38.14,100.0,1.0,10.29
321,Sunrise Manor,US,36.21,-115.07,33.04,30.0,1.0,11.41
322,Bloomfield,US,40.81,-74.19,57.61,66.0,40.0,25.28
323,Dumas,US,35.87,-101.97,11.89,77.0,75.0,18.34
324,Tahlequah,US,35.92,-94.97,28.99,92.0,90.0,5.82
325,Evansville,US,37.97,-87.56,42.8,85.0,90.0,6.93
326,Marietta,US,33.95,-84.55,59.09,99.0,90.0,2.82
327,Havelock,US,34.88,-76.9,69.55,78.0,90.0,16.11
328,Virginia Beach,US,36.85,-75.98,70.16,70.0,1.0,17.22
329,Halifax,CA,44.65,-63.58,32.0,100.0,90.0,25.28
330,Torbay,CA,47.66,-52.73,15.8,78.0,75.0,8.05
331,Vila Franca Do Campo,PT,37.72,-25.43,64.4,77.0,40.0,14.99
332,Camacha,PT,33.08,-16.33,66.69,68.0,40.0,16.11
333,Palma Del Rio,ES,37.7,-5.28,61.36,36.0,0.0,5.82
334,Bardiyah,LY,31.76,25.09,59.73,100.0,88.0,17.81
335,Cumra,TR,37.57,32.77,28.4,86.0,75.0,4.7
336,Akdagmadeni,TR,39.66,35.88,20.53,94.0,88.0,2.71
337,Naqadeh,IR,36.96,45.39,34.93,80.0,64.0,7.85
338,Garmsar,IR,35.22,52.34,31.83,71.0,36.0,2.37
